time,P_gen_01_MW,P_gen_02_MW,P_gen_03_MW,P_gen_04_MW,P_gen_05_MW,P_gen_06_MW,P_gen_07_MW,P_gen_08_MW,P_gen_09_MW,P_gen_10_MW,Q_gen_01_Mvar,Q_gen_02_Mvar,Q_gen_03_Mvar,Q_gen_04_Mvar,Q_gen_05_Mvar,Q_gen_06_Mvar,Q_gen_07_Mvar,Q_gen_08_Mvar,Q_gen_09_Mvar,Q_gen_10_Mvar,V_bus_01,V_bus_02,V_bus_03,V_bus_04,V_bus_05,V_bus_06,V_bus_07,V_bus_08,V_bus_09,V_bus_10,V_bus_11,V_bus_12,V_bus_13,V_bus_14,V_bus_15,V_bus_16,V_bus_17,V_bus_18,V_bus_19,V_bus_20,V_bus_21,V_bus_22,V_bus_23,V_bus_24,V_bus_25,V_bus_26,V_bus_27,V_bus_28,V_bus_29,V_bus_30,V_bus_31,V_bus_32,V_bus_33,V_bus_34,V_bus_35,V_bus_36,V_bus_37,V_bus_38,V_bus_39,f_gen_01_Hz,f_gen_02_Hz,f_gen_03_Hz,f_gen_04_Hz,f_gen_05_Hz,f_gen_06_Hz,f_gen_07_Hz,f_gen_08_Hz,f_gen_09_Hz,f_gen_10_Hz
0,247.352261273966,699.116952392246,672.468436689094,653.082058117456,517.001575315051,646.130159821521,525.643122908954,535.987289333204,821.977002538217,950.42814425992,178.514463804071,156.180960293536,138.262339677886,44.6487567663441,137.308386721733,221.895608855346,188.546916430546,13.8484055552004,43.6269834569362,226.716692479406,1.02689619675705,1.02001666624597,0.99447483961839,0.960052914488354,0.958759194400415,0.959595583265732,0.953428280202794,0.95459830027182,1.02020748978919,0.965720464430389,0.96248971145941,0.945223402898302,0.964270555325827,0.965187824060215,0.973078921276371,0.991037183180515,0.995070011903285,0.993422115057645,0.990604030237737,0.987464309584295,0.997579428206033,1.02295995468122,1.02167673627957,0.999263896725713,1.02837994251279,1.01926682520478,1.00205421142613,1.01980305097993,1.02109290474891,1.04990032627657,0.982000407484284,0.984100409692964,0.997200872807602,1.01230087613236,1.04940108840344,1.06360108401266,1.02750044803667,1.02650102943883,1.0300000719806,60,60,60,60,60,60,60,60,60,60
0.2,247.352147745071,699.116875730087,672.468339706033,653.081739041182,517.001256606137,646.130016465863,525.643241488003,535.987282931208,821.976581197761,950.431725245661,178.514127017439,156.180854278296,138.262193264818,44.6484893727895,137.308618915998,221.895644835238,188.546756533802,13.8483873878241,43.6269131685302,226.715712880076,1.02689634378284,1.02001685759086,0.994475040116049,0.960053108719427,0.95875938752272,0.959595776101752,0.953428472315214,0.954598491454614,1.02020762188374,0.965720652071003,0.962489901630435,0.945223589244182,0.964270745017948,0.965188021132473,0.973079138955677,0.991037411654313,0.99507023484134,0.993422330404824,0.990604276065881,0.987464585016073,0.997579651095649,1.02296017059666,1.0216769419533,0.999264124040779,1.02838009875034,1.01926704806138,1.00205443309992,1.01980331134105,1.02109317049967,1.04990045693871,0.982000579005199,0.984100570900671,0.997201083025544,1.01230119020072,1.04940130699953,1.06360124211743,1.02750060259845,1.02650129160951,1.03000011870622,59.9999979038618,59.999997571694,59.9999975493403,59.9999970162923,59.9999967670842,59.9999973615192,59.9999974020685,59.9999976695916,59.9999969668573,59.9999987836974
0.4,247.352218092851,699.116723760728,672.468164854075,653.081361639069,517.000884414698,646.129809866064,525.643137139853,535.987186002709,821.976092568697,950.435484704017,178.513762703417,156.180753131528,138.262044059416,44.6482250024715,137.308789170982,221.895577278759,188.546543677481,13.8483413713596,43.6268219703308,226.714758639993,1.02689648089711,1.0200170221294,0.994475214203374,0.960053285264132,0.958759568883695,0.959595957779237,0.953428654400047,0.954598673034264,1.02020775024188,0.965720825861157,0.962490078889232,0.94522376174441,0.964270919399559,0.965188199058754,0.97307932626899,0.991037604366685,0.995070424180451,0.993422515063769,0.990604478408985,0.98746481063787,0.997579833734196,1.02296033924555,1.02167710315841,0.999264314759182,1.02838021901172,1.01926723217719,1.00205461843999,1.01980352857608,1.02109339171522,1.04990055558314,0.982000744034681,0.984100719918018,0.997201250466193,1.01230144479778,1.04940146607249,1.06360134982795,1.02750071619575,1.02650150633936,1.03000016337049,59.9999957145334,59.9999955577163,59.9999955509847,59.9999950637978,59.9999946636475,59.9999952629817,59.9999951590603,59.9999956783764,59.9999950999276,59.9999970049888
0.6,247.35190462781,699.116568182073,672.468013607168,653.081187704122,517.000629309251,646.129569637328,525.642814456399,535.987081091968,821.975900788041,950.437540087147,178.513622771089,156.180693553986,138.261969631768,44.6480807357574,137.308816669092,221.895462063568,188.546354615397,13.8483055509414,43.6267205643762,226.714392626111,1.02689652586455,1.02001704629394,0.994475239185839,0.960053319651259,0.958759612541999,0.959596001863173,0.953428701879723,0.954598721623847,1.02020779355855,0.965720861934769,0.962490118067935,0.945223797966544,0.964270954063293,0.965188230987169,0.973079348359209,0.991037621773341,0.995070441989751,0.993422536206915,0.990604487500228,0.987464827011134,0.997579844401366,1.022960337746,1.02167709880461,0.999264330623479,1.02838021859646,1.01926723232162,1.00205462629739,1.01980351649809,1.02109337440733,1.04990055784362,0.982000780813263,0.984100745404836,0.997201240088831,1.01230146760403,1.04940145199876,1.06360130764405,1.02750070980737,1.02650147541243,1.03000017857566,59.9999940338879,59.9999943974097,59.9999944514378,59.9999946360277,59.9999944932387,59.9999943612691,59.9999942497888,59.9999944082486,59.9999949527771,59.9999943586762
0.8,247.351644502021,699.11655373899,672.46804441793,653.081286728971,517.000719945857,646.129526212919,525.642776165619,535.98704469732,821.976188999109,950.434923998617,178.513910467193,156.180710399892,138.262054035867,44.6481487675236,137.308688158259,221.895491666939,188.546381008994,13.8483715662576,43.6266753165716,226.715283095974,1.02689638912936,1.02001684293784,0.994475020133488,0.960053104706681,0.958759400236745,0.959595788849726,0.953428494064471,0.954598516570043,1.02020766358892,0.965720649152829,0.96248990465261,0.945223588050834,0.964270739573376,0.965188010297433,0.973079105652974,0.991037366929576,0.99507019283339,0.993422297824962,0.990604210848697,0.987464538640993,0.997579594018811,1.0229600920912,1.02167685351485,0.999264074901395,1.02838004290673,1.01926696898686,1.0020543707611,1.01980319076653,1.02109303516246,1.04990040987001,0.982000570674875,0.984100548431793,0.997200971921189,1.01230116063239,1.04940121508332,1.0636010753349,1.02750054732654,1.02650112277428,1.03000013409431,59.9999934559826,59.9999937660327,59.9999938740924,59.9999944662808,59.9999949130723,59.9999943494354,59.9999944671441,59.9999936918416,59.9999948530335,59.9999918043979
1,247.351919448914,699.116650101119,672.468208792161,653.081399449671,517.000997704739,646.129856362282,525.643092250139,535.987115098243,821.976456109469,950.428913480958,178.514465299017,156.18077075031,138.262231281765,44.648332965707,137.308465454197,221.895634079564,188.546577690938,13.8484934426564,43.6266901016509,226.717022777616,1.02689613197341,1.02001650365959,0.99447465088492,0.96005272883502,0.958759018711514,0.959595405388814,0.953428116387122,0.954598142528851,1.02020741569325,0.965720272081748,0.962489524218583,0.945223215958439,0.964270361507435,0.965187625896465,0.973078694472808,0.991036940258187,0.99506978189358,0.993421901286815,0.990603758590716,0.987464063594078,0.99757917147838,1.02295968149004,1.02167644552061,0.999263645090658,1.02837976212162,1.0192665756457,1.00205397218291,1.01980273929526,1.02109257282773,1.04990017057094,0.982000194217386,0.98410020178925,0.997200544261644,1.0123006520705,1.04940082684498,1.06360071622983,1.02750028868048,1.0265006552755,1.03000005001758,59.9999929154556,59.9999930308482,59.9999931528418,59.9999937866105,59.9999943446027,59.9999939661539,59.9999939609786,59.9999929808452,59.9999937595388,59.9999905544695
1.2,247.35190954978,699.116645912325,672.468244371231,653.081443749029,517.001036697033,646.129978923801,525.64310750892,535.987119982781,821.976398054286,950.425998969567,178.514788839604,156.180786880427,138.26229690824,44.6483910233517,137.308306804883,221.895647755266,188.546607714175,13.848533331137,43.6266451044974,226.717998255612,1.0268959848329,1.02001629070777,0.994474414146605,0.960052489338391,0.958758780011998,0.959595165454582,0.953427882625023,0.954597912021776,1.02020727026863,0.965720030566597,0.962489282640935,0.945222978347822,0.964270118725335,0.965187377759738,0.973078421520059,0.991036653594132,0.995069510363454,0.993421642333121,0.990603445724033,0.987463736680079,0.9975788820768,1.02295939178306,1.0216761570072,0.999263354996229,1.02837957263888,1.01926631860781,1.00205371047719,1.01980244785075,1.02109227351674,1.04990001750828,0.981999956234162,0.984099972120532,0.997200238724165,1.01230030226896,1.0494005426093,1.06360044103385,1.02750010536668,1.02650034677789,1.03000000144257,59.9999920017715,59.9999922024736,59.9999922756752,59.9999926596406,59.9999928496832,59.9999926383355,59.999992586026,59.9999921611076,59.999992626333,59.9999910931405
1.4,247.35173971957,699.11657454059,672.468191211408,653.081398714833,517.000968031761,646.129908328888,525.64300351798,535.987054387693,821.976294035258,950.424867258242,178.514974698949,156.180783200945,138.262308117539,44.6483781816238,137.308190861727,221.895588395626,188.546560407672,13.8485367822002,43.6265637785429,226.718520703566,1.0268959011811,1.02001615110677,0.994474257520008,0.960052335835718,0.958758632033217,0.959595016959688,0.953427739880212,0.954597772010721,1.02020718742915,0.965719876845049,0.962489130438387,0.945222827426863,0.964269963283739,0.965187216768777,0.97307823686743,0.991036456401915,0.995069324155171,0.993421467167576,0.990603224691166,0.987463506672744,0.997578679995216,1.02295918383778,1.02167594941656,0.999263154784482,1.02837943740429,1.01926613261966,1.00205352560437,1.01980222870227,1.02109204567974,1.0498999139125,0.981999808731783,0.984099821965082,0.997200015666128,1.01230005610949,1.04940033119104,1.06360022912829,1.02749997027924,1.02650010538575,1.02999997407852,59.9999914174461,59.9999915892053,59.9999916117012,59.9999916818295,59.9999915962433,59.9999915607457,59.9999915531427,59.999991585862,59.9999918199883,59.9999918041531
1.6,247.351455520121,699.116405171265,672.468005128669,653.081170493795,517.000740764938,646.129605656202,525.642782975613,535.986910196893,821.976129754698,950.42627338643,178.514954550746,156.180756948524,138.262246111143,44.6482616528255,137.30815409161,221.895420651562,188.546418631411,13.8484887103618,43.6264350692055,226.71836660689,1.02689591295885,1.02001612681886,0.994474228162276,0.960052319251008,0.958758627700838,0.959595013345082,0.953427740525461,0.954597774243986,1.02020720077851,0.965719863677668,0.962489120754145,0.945222815035059,0.964269947712412,0.965187195285461,0.973078194361645,0.99103640369502,0.995069275303433,0.993421426181187,0.99060315721243,0.987463439402075,0.997578617517456,1.02295910656192,1.02167587181907,0.99926309920705,1.0283793900173,1.01926606272062,1.00205346535627,1.01980212973939,1.02109193742716,1.04989988887147,0.981999806420571,0.984099801645241,0.997199932856988,1.01229998513939,1.049400236377,1.0636001241777,1.02749991424745,1.02649997814104,1.02999997878163,59.9999916883272,59.9999916426636,59.9999916370007,59.9999914787981,59.9999912884324,59.9999914825138,59.9999915277731,59.9999917344536,59.9999917928372,59.9999924774564
1.8,247.351362903885,699.116257960754,672.46783883849,653.080935882024,517.000513549313,646.129413054152,525.642635435803,535.986825484146,821.975965149178,950.427567474945,178.514916495571,156.180745656913,138.262199588227,44.6481568017744,137.30815930006,221.895254823932,188.54630804836,13.8484463240164,43.6263263978514,226.718165204157,1.02689593382577,1.02001612596538,0.9944742262708,0.960052330299203,0.958758649616427,0.959595036255073,0.953427765742172,0.95459780019689,1.02020722564965,0.965719879402293,0.962489139142642,0.945222830674983,0.964269961208357,0.965187203385224,0.973078185304659,0.991036386631862,0.995069260318009,0.993421416617963,0.990603136588333,0.987463423405738,0.997578588269035,1.02295906168246,1.02167582775095,0.999263078837804,1.0283793679764,1.01926602966399,1.00205344040649,1.01980207689477,1.02109187766715,1.04989988230602,0.981999833628168,0.984099812808923,0.997199898711317,1.01229997198088,1.0494001723809,1.06360005772757,1.02749988398566,1.02649990293734,1.02999998663621,59.9999926550453,59.9999925298992,59.9999925385993,59.9999925269581,59.9999923730783,59.9999926333572,59.9999926002401,59.9999926413702,59.9999926384437,59.9999927464915
